material_type,material_name,item_description,vendor_item_number,vendor_name,class_name,url_link,notes,additional classes
Class Supplies,Armada Spring Scissors,Armada Easy Spring Scissors,57083-1001,Blick Art Materials,Partners Art,https://www.dickblick.com/items/armada-easy-spring-scissors/,,
Brushes,Liquitex Basics Synth Brushes and Sets,Liquitex Basics Synthetic Brushes - Class Pack of 96 | BLICK Art Materials,04454-1096,Blick Art Materials,Art 1,https://www.dickblick.com/products/liquitex-basics-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3D04454-1096&Item=04454-1096,Set with bigger brushes. Usually 1 or 2 of these will be good enough,"Art 2, Art 3, Art 4, Adv Art 1"
Brushes,Liquitex Basics Synth Brushes - 5,Liquitex Basics Synthetic Brushes - Set of 5 | BLICK Art Materials,06551-1005,Blick Art Materials,Art 1,https://www.dickblick.com/items/liquitex-basics-brush-set-set-of-5/,Brush Set,"Art 2, Art 3, Art 4, Adv Art 1"
Brushes,Blick Sumi Brush - Size 6,Blick Sumi Brush - Size 6,04321-1006,Blick Art Materials,Adv Art 2,https://www.dickblick.com/items/blick-sumi-brush-size-6/,,
Brushes,Blick Sumi Brush - Size 2,Blick Sumi Brush - Size 2,04321-1002,Blick Art Materials,Adv Art 2,https://www.dickblick.com/items/blick-sumi-brush-size-2/,,
Brushes,"Spotter, Short Handle, 5/0","Princeton Select Synthetic Brush - Spotter, Short Handle, 5/0",06376-7050,Blick Art Materials,Adv Art 2,https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06376-7050,,Drawing
Brushes,"Short Liner, Short Handle, 18/0","Princeton Select Synthetic Brush - Short Liner, Short Handle, Size 18/0",06391-7018,Blick Art Materials,Adv Art 2,https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06391-7018,,Drawing
Brushes,"Short Liner, Short Handle, 10/0","Princeton Select Synthetic Brush - Short Liner, Short Handle, Size 10/0",06391-7010,Blick Art Materials,Adv Art 2,https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06391-7010,,Drawing
Brushes,"Round, Short Handle,  3/0","Princeton Select Synthetic Brush - Round, Short Handle, Size 3/0",06389-1030,Blick Art Materials,Adv Art 2,https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06389-1030,,Drawing
Brushes,"Round, Short Handle, Size 0","Princeton Select Synthetic Brush - Round, Short Handle, Size 0",06389-1000,Blick Art Materials,Adv Art 2,https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06389-1000,,Drawing
Clay,T-Mix 6 w/ Grog,T-Mix 6 ,SKU: 7118,Trinity Ceramics,AP 3D,https://trinityceramic.com/product/t-mix-6-wgrog/,More advanced clay,
Art Kit,Sharpie Fine Point 36 Pack,"Sharpie® Permanent Fine-Point Markers, Black, Pack Of 36",1390240,Office Depot,Whole Department,https://www.officedepot.com/a/products/1390240/Sharpie-Permanent-Fine-Point-Markers-Black/#Reviews,Can get from Amazon and Blick. Amazon usually is cheaper,
Clay Tools,Metal Rib,Metal Rib - also called flexible steel scraper,SKU: 971,Trinity Ceramics,Ceramics,https://trinityceramic.com/product/s3-x/,,
Art Kit,Sharpie Ultra Fine 12 Pack,"Sharpie® Permanent Ultra-Fine Point Markers, Black, Pack Of 12 Markers",451898,Office Depot,Whole Department,https://www.officedepot.com/a/products/451898/Sharpie-Permanent-Ultra-Fine-Point-Markers/#Reviews,Can get from Amazon and Blick. Amazon usually is cheaper,
Art Kit,"Blick Mesh Zipper Bag - 12"" x 16""",Art Kit Bag,16974-2016,Blick Art Materials,Whole Department,https://www.dickblick.com/items/blick-mesh-zipper-bag-12-x-16/,,
Class Supplies,Blick  Scissors,Blick Studio Multi-Purpose Scissors - 8-1/4,86021-2021,Blick Art Materials,Whole Department,https://www.dickblick.com/items/blick-studio-multi-purpose-scissors-8-14/,,
Class Supplies,Blick  Scissors,"Bent Handle Soft Grip Blick Studio Multi-Purpose Scissors - 8-1/4"" ",86021-2021,Blick Art Materials,Whole Department,https://www.dickblick.com/products/blick-studio-soft-grip-bent-scissors/,,
Class Supplies,Compass,Orange Compass,55437-0000,Blick Art Materials,Whole Department,https://www.dickblick.com/items/safe-t-safe-t-compass/,,
Class Supplies,"12"" Flexible Clear Ruler",Flexible Clear ruler,55693-1012,Blick Art Materials,Whole Department,https://www.dickblick.com/items/westcott-flexible-ruler-12-inch-metric/,,
Class Supplies,X-Acto Knife,X-Acto Knife with cap,57445-1101,Blick Art Materials,Whole Department,https://www.dickblick.com/items/x-acto-knife-1-with-cap/,,
Class Supplies,"12"" Metal Ruler","12"" Metal Ruler with cork backed",56009-1012,Blick Art Materials,Whole Department,https://www.dickblick.com/items/blick-stainless-steel-ruler-12-cork-backed/,,
Class Supplies,Hot Glue Sticks 5lb Box,"Hot Glue Gun refills 7/16"" x 4""",23604-1104,Blick Art Materials,Whole Department,https://www.dickblick.com/items/surebonder-clear-stik-hot-glue-sticks-5-lb-716-x-4/,"7/16"" - Larger refill sticks",
Drawing,Crayola Broad Line Markers and Sets,Crayola Broad Line Markers - Assorted Sets,Various,Blick Art Materials,Partners Art,https://www.dickblick.com/products/crayola-broad-line-markers/?Item=21218-1109,,
Drawing,Posca Paint Markers Set,Paint Markers Set,19994-1159,Blick Art Materials,Partners Art,https://www.dickblick.com/items/uni-posca-paint-markers-basic-colors-set-of-15-bullet-tip-7-mm/,,
Drawing,Prismacolor Pencils - Portrait Set,"Prismacolor Premier Colored Pencils - Set of 24, Portrait Colors",20586-0429,Blick Art Materials,Adv Art 2,https://www.dickblick.com/products/prismacolor-premier-colored-pencils/?Item=20586-0249,,Drawing
Drawing,Brush Pens - Landscape Colors,"Tombow Dual Brush Pens - Set of 10, Landscape Colors",21334-1139,Blick Art Materials,Adv Art 2,https://www.dickblick.com/items/tombow-dual-brush-pens-landscape-colors-set-of-10/,,Drawing
Drawing,Brush Pens - Potrait Colors,"Tombow Dual Brush Pens - Set of 10, Portrait Colors",21334-1149,Blick Art Materials,Adv Art 2,https://www.dickblick.com/items/tombow-dual-brush-pens-portrait-colors-set-of-10/,,Drawing
