"material_id","material_name","material_type","item_description","class_name","vendor_name","vendor_item_number","url_link","notes"
1,Pencils Classroom pack of 24,Art Kit," 24 each of 6B, 4B, 2B, B, HB, and 2H.",Whole Department,Blick Art Materials,"22220-2144",https://www.dickblick.com/items/blick-studio-drawing-pencils-class-pack-of-144/,Class set for art kits. Order individual pencils to replace is recommended
2,"2B Pencil",Art Kit,"2B Pencil single re-order",Whole Department,Blick Art Materials,"22220-2021",https://www.dickblick.com/items/blick-studio-drawing-pencil-2b/,Individual Pencil re-order for Art Kit
3,"2H Pencil",Art Kit,"2H Pencil single re-order",Whole Department,Blick Art Materials,"22220-2003",https://www.dickblick.com/items/blick-studio-drawing-pencil-2h/,Individual Pencil re-order for Art Kit
4,"4B Pencil",Art Kit,"4B Pencil single re-order",Whole Department,Blick Art Materials,"22220-2041",https://www.dickblick.com/items/blick-studio-drawing-pencil-4b/,Individual Pencil re-order for Art Kit
5,"6B Pencil",Art Kit,"6b Pencil single re-order",Whole Department,Blick Art Materials,"22220-2061",https://www.dickblick.com/items/blick-studio-drawing-pencil-6b-softest/,Individual Pencil re-order for Art Kit
6,"Blick Mesh Zipper Bag - 12"" x 16""",Art Kit,Art Kit Bag,Whole Department,Blick Art Materials,"16974-2016",https://www.dickblick.com/items/blick-mesh-zipper-bag-12-x-16/,""
7,B Pencil,Art Kit,B Pencil single re-order,Whole Department,Blick Art Materials,"22220-2100",https://www.dickblick.com/items/blick-studio-drawing-pencil-b/,Individual Pencil re-order for Art Kit
8,Sketchbook 9 x 12,Art Kit,Beinfang Mixed Media Sketchbook 9 x 12,Whole Department,Blick Art Materials,"22784-1023",https://www.dickblick.com/products/bienfang-mixed-media-pad/,""
9,HB Pencil,Art Kit,HB Pencil single re-order,Whole Department,Blick Art Materials,"22220-2110",https://www.dickblick.com/items/blick-studio-drawing-pencil-hb/,Individual Pencil re-order for Art Kit
10,Eraser - Prismacolor Magic Rub,Art Kit,Magic Rub Eraser,Whole Department,Blick Art Materials,"21510-1003",https://www.dickblick.com/products/prismacolor-magic-rub-eraser/,""
11,Eraser Caps - box of 240,Art Kit,Pencil Cap Erasers,Whole Department,Blick Art Materials,"21577-1024",Pentel Hi-Polymer Eraser Caps,""
12,Eraser - Hi-Plolymer 3 pack,Art Kit,Pentel Hi-Polymer Erasers pkg of 3,Whole Department,Blick Art Materials,"21590-1021",https://www.dickblick.com/products/pentel-hi-polymer-erasers/,""
13,Eraser - Pink Pearl box of 12,Art Kit,"Pink Pearl Eraser - Large, Box of 12",Whole Department,Blick Art Materials,"21518-3051",https://www.dickblick.com/products/pink-pearl-eraser/?fromSearch=%2Fsearch%2F%3Fsearchword%3D21518-3051,""
14,Sandpaper Block,Art Kit,Sand paper for cleaning blenders,Whole Department,Blick Art Materials,"21517-1000",https://www.dickblick.com/products/sandpaper-block/,""
15,Sharpie Fine Point 36 Pack,Art Kit,"Sharpie® Permanent Fine-Point Markers, Black, Pack Of 36",Whole Department,Office Depot,"1390240",https://www.officedepot.com/a/products/1390240/Sharpie-Permanent-Fine-Point-Markers-Black/#Reviews,Can get from Amazon and Blick. Amazon usually is cheaper
16,Sharpie Ultra Fine 12 Pack,Art Kit,"Sharpie® Permanent Ultra-Fine Point Markers, Black, Pack Of 12 Markers",Whole Department,Office Depot,"451898",https://www.officedepot.com/a/products/451898/Sharpie-Permanent-Ultra-Fine-Point-Markers/#Reviews,Can get from Amazon and Blick. Amazon usually is cheaper
17,Blick Sumi Brush - Size 2,Brushes,Blick Sumi Brush - Size 2,Adv Art 2,Blick Art Materials,"04321-1002",https://www.dickblick.com/items/blick-sumi-brush-size-2/,""
18,Blick Sumi Brush - Size 6,Brushes,Blick Sumi Brush - Size 6,Adv Art 2,Blick Art Materials,"04321-1006",https://www.dickblick.com/items/blick-sumi-brush-size-6/,""
19,Liquitex Basics Synth Brushes and Sets,Brushes,Liquitex Basics Synthetic Brushes - Class Pack of 96 | BLICK Art Materials,Art 3,Blick Art Materials,"04454-1096",https://www.dickblick.com/products/liquitex-basics-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3D04454-1096&Item=04454-1096,Set with bigger brushes. Usually 1 or 2 of these will be good enough
19,Liquitex Basics Synth Brushes and Sets,Brushes,Liquitex Basics Synthetic Brushes - Class Pack of 96 | BLICK Art Materials,Adv Art 1,Blick Art Materials,"04454-1096",https://www.dickblick.com/products/liquitex-basics-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3D04454-1096&Item=04454-1096,Set with bigger brushes. Usually 1 or 2 of these will be good enough
19,Liquitex Basics Synth Brushes and Sets,Brushes,Liquitex Basics Synthetic Brushes - Class Pack of 96 | BLICK Art Materials,Art 1,Blick Art Materials,"04454-1096",https://www.dickblick.com/products/liquitex-basics-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3D04454-1096&Item=04454-1096,Set with bigger brushes. Usually 1 or 2 of these will be good enough
19,Liquitex Basics Synth Brushes and Sets,Brushes,Liquitex Basics Synthetic Brushes - Class Pack of 96 | BLICK Art Materials,Art 4,Blick Art Materials,"04454-1096",https://www.dickblick.com/products/liquitex-basics-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3D04454-1096&Item=04454-1096,Set with bigger brushes. Usually 1 or 2 of these will be good enough
19,Liquitex Basics Synth Brushes and Sets,Brushes,Liquitex Basics Synthetic Brushes - Class Pack of 96 | BLICK Art Materials,Art 2,Blick Art Materials,"04454-1096",https://www.dickblick.com/products/liquitex-basics-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3D04454-1096&Item=04454-1096,Set with bigger brushes. Usually 1 or 2 of these will be good enough
20,Liquitex Basics Synth Brushes - 5,Brushes,Liquitex Basics Synthetic Brushes - Set of 5 | BLICK Art Materials,Art 3,Blick Art Materials,"06551-1005",https://www.dickblick.com/items/liquitex-basics-brush-set-set-of-5/,Brush Set
20,Liquitex Basics Synth Brushes - 5,Brushes,Liquitex Basics Synthetic Brushes - Set of 5 | BLICK Art Materials,Adv Art 1,Blick Art Materials,"06551-1005",https://www.dickblick.com/items/liquitex-basics-brush-set-set-of-5/,Brush Set
20,Liquitex Basics Synth Brushes - 5,Brushes,Liquitex Basics Synthetic Brushes - Set of 5 | BLICK Art Materials,Art 1,Blick Art Materials,"06551-1005",https://www.dickblick.com/items/liquitex-basics-brush-set-set-of-5/,Brush Set
20,Liquitex Basics Synth Brushes - 5,Brushes,Liquitex Basics Synthetic Brushes - Set of 5 | BLICK Art Materials,Art 4,Blick Art Materials,"06551-1005",https://www.dickblick.com/items/liquitex-basics-brush-set-set-of-5/,Brush Set
20,Liquitex Basics Synth Brushes - 5,Brushes,Liquitex Basics Synthetic Brushes - Set of 5 | BLICK Art Materials,Art 2,Blick Art Materials,"06551-1005",https://www.dickblick.com/items/liquitex-basics-brush-set-set-of-5/,Brush Set
21,"Round, Short Handle, Size 0",Brushes,"Princeton Select Synthetic Brush - Round, Short Handle, Size 0",Drawing,Blick Art Materials,"06389-1000",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06389-1000,""
21,"Round, Short Handle, Size 0",Brushes,"Princeton Select Synthetic Brush - Round, Short Handle, Size 0",Adv Art 2,Blick Art Materials,"06389-1000",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06389-1000,""
22,"Round, Short Handle,  3/0",Brushes,"Princeton Select Synthetic Brush - Round, Short Handle, Size 3/0",Drawing,Blick Art Materials,"06389-1030",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06389-1030,""
22,"Round, Short Handle,  3/0",Brushes,"Princeton Select Synthetic Brush - Round, Short Handle, Size 3/0",Adv Art 2,Blick Art Materials,"06389-1030",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06389-1030,""
23,"Short Liner, Short Handle, 10/0",Brushes,"Princeton Select Synthetic Brush - Short Liner, Short Handle, Size 10/0",Drawing,Blick Art Materials,"06391-7010",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06391-7010,""
23,"Short Liner, Short Handle, 10/0",Brushes,"Princeton Select Synthetic Brush - Short Liner, Short Handle, Size 10/0",Adv Art 2,Blick Art Materials,"06391-7010",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06391-7010,""
24,"Short Liner, Short Handle, 18/0",Brushes,"Princeton Select Synthetic Brush - Short Liner, Short Handle, Size 18/0",Drawing,Blick Art Materials,"06391-7018",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06391-7018,""
24,"Short Liner, Short Handle, 18/0",Brushes,"Princeton Select Synthetic Brush - Short Liner, Short Handle, Size 18/0",Adv Art 2,Blick Art Materials,"06391-7018",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06391-7018,""
25,"Spotter, Short Handle, 5/0",Brushes,"Princeton Select Synthetic Brush - Spotter, Short Handle, 5/0",Drawing,Blick Art Materials,"06376-7050",https://www.dickblick.com/products/princeton-select-series-3750-synthetic-brushes/?fromSearch=%2Fsearch%2F%3Fsearchword%3Dline+detail+brushes&Item=06376-7050,""
