"decade","genre","platform","genre_na_sales","genre_eu_sales","genre_jp_sales","genre_other_sales","genre_global_sales","pct_na_sales","pct_eu_sales","pct_jp_sales","pct_other_sales","pct_global_sales"
1990,"Platform","DC","1.26","0.61","0.46","0.08","2.42","43.45","67.78","10.00","57.14","28.27"
1990,"Sports","DC","1.12","0.05","1.05","0.02","2.25","38.62","5.56","22.83","14.29","26.29"
1990,"Adventure","DC","0.52","0.24","0.54","0.04","1.34","17.93","26.67","11.74","28.57","15.65"
1990,"Fighting","DC","0","0","1.05","0","1.05","0.00","0.00","22.83","0.00","12.27"
1990,"Racing","DC","0","0","0.64","0","0.64","0.00","0.00","13.91","0.00","7.48"
1990,"Simulation","DC","0","0","0.52","0","0.52","0.00","0.00","11.30","0.00","6.07"
1990,"Shooter","DC","0","0","0.26","0","0.26","0.00","0.00","5.65","0.00","3.04"
1990,"Action","DC","0","0","0.08","0","0.08","0.00","0.00","1.74","0.00","0.93"
1990,"Role-Playing","GB","26.16","20.11","26.00","2.31","74.58","40.51","57.79","46.96","45.38","46.67"
1990,"Platform","GB","15.60","5.55","8.25","1.14","30.53","24.16","15.95","14.90","22.40","19.10"
1990,"Adventure","GB","8.01","2.98","3.70","0.46","15.16","12.41","8.56","6.68","9.04","9.49"
1990,"Action","GB","6.10","2.25","2.71","0.34","11.39","9.45","6.47","4.89","6.68","7.13"
1990,"Puzzle","GB","2.72","1.26","4.33","0.16","8.47","4.21","3.62","7.82","3.14","5.30"
1990,"Strategy","GB","1.49","0.73","4.64","0.11","6.96","2.31","2.10","8.38","2.16","4.36"
1990,"Racing","GB","2.31","1.06","0.74","0.44","4.55","3.58","3.05","1.34","8.64","2.85"
1990,"Compilation","GB","2.18","0.86","0.59","0.11","3.74","3.38","2.47","1.07","2.16","2.34"
1990,"Simulation","GB","0","0","3.53","0.02","3.55","0.00","0.00","6.38","0.39","2.22"
1990,"Sports","GB","0","0","0.88","0","0.88","0.00","0.00","1.59","0.00","0.55"
1990,"Puzzle","GBA","0.06","0.02","0","0","0.09","100.00","100.00",NULL,NULL,"100.00"
1990,"Platform","GEN","10.73","3.38","0.77","0.56","15.45","55.68","61.23","28.84","62.92","54.48"
1990,"Fighting","GEN","3.98","1.20","0.61","0.17","5.97","20.65","21.74","22.85","19.10","21.05"
1990,"Sports","GEN","2.70","0.39","0.04","0.08","3.20","14.01","7.07","1.50","8.99","11.28"
1990,"Action","GEN","1.86","0.55","0.18","0.08","2.67","9.65","9.96","6.74","8.99","9.41"
1990,"Role-Playing","GEN","0","0","0.27","0","0.27","0.00","0.00","10.11","0.00","0.95"
1990,"Racing","GEN","0","0","0.26","0","0.26","0.00","0.00","9.74","0.00","0.92"
1990,"Adventure","GEN","0","0","0.19","0","0.19","0.00","0.00","7.12","0.00","0.67"
1990,"Strategy","GEN","0","0","0.19","0","0.19","0.00","0.00","7.12","0.00","0.67"
1990,"Shooter","GEN","0","0","0.13","0","0.13","0.00","0.00","4.87","0.00","0.46"
1990,"Party/Minigames","GEN","0","0","0.03","0","0.03","0.00","0.00","1.12","0.00","0.11"
1990,"Racing","N64","24.95","7.89","4.03","0.56","37.51","21.32","22.61","15.52","16.77","20.68"
1990,"Platform","N64","18.78","6.83","4.94","0.79","31.36","16.05","19.57","19.02","23.65","17.29"
1990,"Sports","N64","18.37","4.74","3.51","0.52","27.17","15.70","13.58","13.52","15.57","14.98"
1990,"Action","N64","14.55","4.53","2.08","0.42","21.59","12.43","12.98","8.01","12.57","11.90"
1990,"Shooter","N64","13.50","3.90","0.89","0.26","18.55","11.54","11.17","3.43","7.78","10.23"
1990,"Fighting","N64","10.48","2.42","2.07","0.16","15.13","8.95","6.93","7.97","4.79","8.34"
1990,"Simulation","N64","5.56","1.52","2.25","0.28","9.62","4.75","4.36","8.66","8.38","5.30"
1990,"Strategy","N64","3.53","1.32","2.80","0.13","7.78","3.02","3.78","10.78","3.89","4.29"
