"decade","genre","platform","num_games","total_na_sales","total_eu_sales","total_jp_sales","total_other_sales","total_global_sales"
1990,"Action","PS","113","51.54","33.25","9.96","5.86","100.63"
1990,"Sports","PS","164","50.04","24.01","16.58","5.24","95.93"
1990,"Racing","PS","113","45.76","30.46","10.87","5.05","92.13"
1990,"Role-Playing","GB","10","26.16","20.11","26.00","2.31","74.58"
1990,"Platform","SNES","27","32.75","10.75","20.72","1.78","66.00"
1990,"Role-Playing","PS","77","16.94","10.17","29.36","3.66","60.05"
1990,"Platform","PS","46","29.83","18.38","5.05","2.76","56.04"
1990,"Fighting","PS","83","22.16","13.83","12.40","2.79","51.13"
1990,"Racing","N64","48","24.95","7.89","4.03","0.56","37.51"
1990,"Role-Playing","SNES","49","2.29","0.16","32.61","0.24","35.28"
1990,"Platform","N64","21","18.78","6.83","4.94","0.79","31.36"
1990,"Platform","GB","12","15.60","5.55","8.25","1.14","30.53"
1990,"Shooter","PS","78","15.46","10.75","2.36","1.74","30.33"
1990,"Sports","N64","65","18.37","4.74","3.51","0.52","27.17"
1990,"Fighting","SNES","25","9.34","2.90","14.27","0.43","26.95"
1990,"Action","N64","28","14.55","4.53","2.08","0.42","21.59"
1990,"Simulation","PS","49","6.07","3.84","8.87","1.28","20.06"
1990,"Strategy","PS","63","6.60","5.14","6.06","1.28","19.01"
1990,"Shooter","N64","21","13.50","3.90","0.89","0.26","18.55"
1990,"Sports","SNES","49","2.10","0.29","15.41","0.06","17.87"
1990,"Adventure","PS","51","6.70","5.66","2.87","0.94","16.16"
1990,"Strategy","PC","14","9.87","5.08","0","0.53","15.48"
1990,"Platform","GEN","7","10.73","3.38","0.77","0.56","15.45"
1990,"Adventure","GB","3","8.01","2.98","3.70","0.46","15.16"
1990,"Fighting","N64","20","10.48","2.42","2.07","0.16","15.13"
1990,"Compilation","PS","15","7.07","4.80","1.47","0.51","13.85"
1990,"Racing","SNES","9","4.91","1.75","6.58","0.25","13.49"
1990,"Action","GB","4","6.10","2.25","2.71","0.34","11.39"
1990,"Puzzle","PS","28","4.79","2.04","3.80","0.54","11.21"
1990,"Action","SNES","11","4.05","1.32","4.16","0.20","9.73"
1990,"Shooter","PC","4","7.19","2.17","0.09","0.25","9.71"
1990,"Simulation","N64","8","5.56","1.52","2.25","0.28","9.62"
1990,"Puzzle","NES","6","4.51","0.95","3.74","0.25","9.46"
1990,"Rhythm/Music","PS","12","0.77","0.51","7.00","0.43","8.71"
1990,"Puzzle","GB","10","2.72","1.26","4.33","0.16","8.47"
1990,"Fighting","SAT","30","0.51","0.38","7.48","0.05","8.41"
1990,"Strategy","N64","7","3.53","1.32","2.80","0.13","7.78"
1990,"Simulation","PC","2","4.42","2.53","0","0.3","7.26"
1990,"Strategy","GB","5","1.49","0.73","4.64","0.11","6.96"
1990,"Trivia/Board Game","PS","12","3.47","1.39","1.29","0.33","6.50"
1990,"Puzzle","SNES","13","0","0","6.37","0.01","6.38"
1990,"Platform","NES","6","3.33","0.61","2.34","0.07","6.35"
1990,"Shooter","SNES","10","2.67","0.89","2.38","0.12","6.07"
1990,"Adventure","PC","4","1.55","4.39","0","0.1","6.04"
1990,"Fighting","GEN","5","3.98","1.20","0.61","0.17","5.97"
1990,"Simulation","SNES","9","1.39","0.44","3.74","0.06","5.63"
1990,"Party/Minigames","N64","3","2.72","0.72","1.95","0.06","5.44"
1990,"Strategy","SNES","15","0.3","0","4.68","0","4.98"
1990,"Role-Playing","NES","3","0.08","0","4.53","0.02","4.63"
1990,"Racing","GB","2","2.31","1.06","0.74","0.44","4.55"
1990,"Action","PC","6","2.87","1.41","0","0.14","4.42"
1990,"Trivia/Board Game","PC","3","3.44","0.81","0","0.1","4.35"
1990,"Adventure","SAT","26","0","0","4.16","0","4.16"
1990,"Action","NES","3","3.04","0.52","0.36","0.06","3.98"
1990,"Shooter","SAT","22","0","0","3.97","0","3.98"
1990,"Role-Playing","SAT","17","0","0","3.76","0","3.76"
1990,"Compilation","GB","4","2.18","0.86","0.59","0.11","3.74"
1990,"Simulation","GB","5","0","0","3.53","0.02","3.55"
1990,"Strategy","SAT","18","0","0","3.24","0","3.24"
1990,"Sports","GEN","3","2.70","0.39","0.04","0.08","3.20"
1990,"Sports","NES","4","0.69","0.6","1.70","0.07","3.06"
1990,"Sports","SAT","16","0","0","2.79","0","2.79"
1990,"Misc","SNES","1","1.43","0.54","0.71","0.07","2.75"
1990,"Action","GEN","2","1.86","0.55","0.18","0.08","2.67"
1990,"Platform","DC","1","1.26","0.61","0.46","0.08","2.42"
