"genre","platform","genre_sales","genre_pct_of_platform_sales"
"Role-Playing","3DS","77.32","31.29"
"Action","3DS","54.23","21.95"
"Platform","3DS","32.03","12.96"
"Simulation","3DS","28.74","11.63"
"Racing","3DS","14.68","5.94"
"Fighting","3DS","10.23","4.14"
"Sports","3DS","6.88","2.78"
"Puzzle","3DS","5.48","2.22"
"Adventure","3DS","5.00","2.02"
"Rhythm/Music","3DS","3.86","1.56"
"Party/Minigames","3DS","2.13","0.86"
"Strategy","3DS","2.09","0.85"
"Shooter","3DS","1.29","0.52"
"Educational","3DS","1.02","0.41"
"Card Game/Casino","3DS","1.00","0.40"
"Compilation","3DS","0.76","0.31"
"Trivia/Board Game","3DS","0.35","0.14"
"Sports","DC","3.66","22.92"
"Racing","DC","2.65","16.59"
"Platform","DC","2.54","15.90"
"Adventure","DC","2.50","15.65"
"Fighting","DC","1.83","11.46"
"Action","DC","1.26","7.89"
"Role-Playing","DC","0.68","4.26"
"Simulation","DC","0.52","3.26"
"Shooter","DC","0.33","2.07"
"Simulation","DS","144.19","17.53"
"Role-Playing","DS","126.85","15.43"
"Action","DS","119.47","14.53"
"Puzzle","DS","110.23","13.40"
"Platform","DS","76.82","9.34"
"Adventure","DS","48.40","5.89"
"Racing","DS","38.90","4.73"
"Sports","DS","30.09","3.66"
"Educational","DS","27.98","3.40"
"Rhythm/Music","DS","20.63","2.51"
"Party/Minigames","DS","19.31","2.35"
"Strategy","DS","15.33","1.86"
"Trivia/Board Game","DS","14.45","1.76"
"Fitness","DS","8.48","1.03"
"Shooter","DS","8.20","1.00"
"Fighting","DS","6.35","0.77"
"Compilation","DS","4.48","0.54"
"Card Game/Casino","DS","2.13","0.26"
"Visual Novel","DS","0.02","0.00"
"Role-Playing","GB","88.24","34.57"
"Platform","GB","54.91","21.51"
"Puzzle","GB","47.24","18.51"
"Adventure","GB","17.16","6.72"
"Action","GB","15.11","5.92"
"Sports","GB","9.36","3.67"
"Strategy","GB","8.05","3.15"
"Racing","GB","4.55","1.78"
"Compilation","GB","3.74","1.47"
"Simulation","GB","3.55","1.39"
"Card Game/Casino","GB","2.11","0.83"
"Shooter","GB","1.2","0.47"
"Platform","GBA","77.41","24.98"
"Role-Playing","GBA","63.75","20.57"
"Action","GBA","56.87","18.35"
"Compilation","GBA","20.22","6.52"
"Racing","GBA","18.80","6.07"
"Sports","GBA","16.48","5.32"
"Adventure","GBA","14.68","4.74"
"Puzzle","GBA","10.54","3.40"
"Strategy","GBA","8.30","2.68"
"Simulation","GBA","6.54","2.11"
"Card Game/Casino","GBA","5.52","1.78"
"Fighting","GBA","3.60","1.16"
"Shooter","GBA","3.60","1.16"
"Party/Minigames","GBA","2.00","0.65"
"Trivia/Board Game","GBA","0.80","0.26"
"Rhythm/Music","GBA","0.78","0.25"
"Educational","GBA","0.03","0.01"
"Action","GC","39.53","19.84"
"Platform","GC","28.24","14.17"
"Sports","GC","25.45","12.77"
"Racing","GC","21.95","11.01"
"Fighting","GC","16.82","8.44"
"Shooter","GC","13.74","6.89"
"Role-Playing","GC","13.14","6.59"
"Party/Minigames","GC","9.21","4.62"
"Simulation","GC","8.53","4.28"
"Adventure","GC","6.03","3.03"
"Puzzle","GC","4.70","2.36"
"Compilation","GC","4.57","2.29"
"Strategy","GC","4.43","2.22"
"Rhythm/Music","GC","2.54","1.27"
"Misc","GC","0.28","0.14"
"Trivia/Board Game","GC","0.08","0.04"
"Card Game/Casino","GC","0.05","0.03"
"Platform","GEN","15.45","54.48"
"Fighting","GEN","5.97","21.05"
"Sports","GEN","3.20","11.28"
"Action","GEN","2.67","9.41"
"Role-Playing","GEN","0.27","0.95"
"Racing","GEN","0.26","0.92"
"Adventure","GEN","0.19","0.67"
"Strategy","GEN","0.19","0.67"
"Shooter","GEN","0.13","0.46"
"Party/Minigames","GEN","0.03","0.11"
"Racing","N64","40.25","18.39"
"Platform","N64","36.13","16.51"
"Sports","N64","35.43","16.19"
"Action","N64","30.61","13.98"
"Shooter","N64","21.79","9.96"
"Fighting","N64","15.90","7.26"
"Strategy","N64","10.74","4.91"
"Simulation","N64","10.19","4.66"
"Party/Minigames","N64","7.35","3.36"
"Puzzle","N64","3.41","1.56"
"Role-Playing","N64","2.95","1.35"
"Compilation","N64","1.69","0.77"
"Trivia/Board Game","N64","1.44","0.66"
"Adventure","N64","0.45","0.21"
"Educational","N64","0.37","0.17"
"Card Game/Casino","N64","0.18","0.08"
"Platform","NES","95.78","38.15"
"Shooter","NES","35.62","14.19"
"Sports","NES","29.87","11.90"
"Action","NES","28.75","11.45"
"Puzzle","NES","21.00","8.36"
"Role-Playing","NES","18.78","7.48"
"Racing","NES","9.78","3.90"
"Adventure","NES","4.38","1.74"
"Card Game/Casino","NES","3.59","1.43"
"Fighting","NES","3.52","1.40"
"Simulation","PC","61.76","23.86"
"Role-Playing","PC","50.71","19.59"
"Shooter","PC","45.89","17.73"
"Strategy","PC","43.80","16.92"
"Action","PC","27.21","10.51"
"Adventure","PC","10.13","3.91"
