,Name,Platform,Year,Lumino+E1,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0,1
2,.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17
3,.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,Namco Bandai Games,0.11,0.09,0.16,0.03,0.39
5,.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17
6,.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27
7,.hack//Link,PSP,2010,Role-Playing,Namco Bandai Games,0,0,0.14,0,0.14
8,.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68
9,.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46
10,.hack//Quarantine Part 4: The Final Chapter,PS2,2003,Role-Playing,Atari,0.09,0.07,0,0.02,0.18
11,.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,Namco Bandai Games,0,0,0.03,0,0.03
12,Prototype 2,X360,2012,Action,Activision,0.48,0.25,0,0.07,0.8
13,Prototype 2,PS3,2012,Action,Activision,0.36,0.28,0,0.11,0.75
14,Prototype 2,PC,2012,Action,Activision,0.07,0.02,0,0.01,0.1
15,Prototype,X360,2009,Action,Activision,0.84,0.35,0,0.12,1.31
16,Prototype,PS3,2009,Action,Activision,0.65,0.41,0,0.19,1.24
17,007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0,0.03,0.53
18,007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.52,0.01,0.14,1.49
19,007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.52,0.02,0.2,1.16
20,007: Quantum of Solace,Wii,2008,Action,Activision,0.3,0.29,0.01,0.07,0.67
21,007: Quantum of Solace,PS2,2008,Action,Activision,0.17,0,0,0.26,0.43
22,007: Quantum of Solace,DS,2008,Action,Activision,0.11,0.01,0,0.01,0.14
23,007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0,0,0.03
24,007: The World is not Enough,N64,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03,1.55
25,007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92
26,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16,3.21
27,1 vs. 100,DS,2008,Trivia/Board Game,DSI Games,0.08,0,0,0.01,0.09
28,1/2 Summer +,PSP,2013,Adventure,Kaga Create,0,0,0.01,0,0.01
29,10 Minute Solution,Wii,2010,Sports,Activision,0.06,0.01,0,0.01,0.08
30,100 All-Time Favorites,DS,2009,Puzzle,Ubisoft,0.35,0.12,0,0.04,0.51
31,100 Classic Books,DS,2008,Educational,Nintendo,0.13,0.52,0,0.02,0.67
32,100 Classic Games,DS,2011,Compilation,Rondomedia,0,0.03,0,0,0.04
